
|   ID  |    x    |      y     |
|  3277 | 0.34600 |    0.53908 |
|  3279 | 0.79900 |    2.79239 |
|  3278 | 0.56700 |    1.26941 |
|  3276 | 0.09900 |    0.11031 |
|  3277 | 0.34700 |    0.54146 |
|  3279 | 0.80000 |    2.80175 |
|  3278 | 0.56800 |    1.27390 |
|  3276 | 0.10000 |    0.11156 |
|  3277 | 0.34800 |    0.54385 |
|  3279 | 0.80100 |    2.81114 |
|  3278 | 0.56900 |    1.27840 |
|  3276 | 0.10100 |    0.11281 |
|  3277 | 0.34900 |    0.54624 |
|  3279 | 0.80200 |    2.82056 |
|  3278 | 0.57000 |    1.28292 |
|  3276 | 0.10200 |    0.11406 |
|  3277 | 0.35000 |    0.54863 |
|  3279 | 0.80300 |    2.83001 |
|  3278 | 0.57100 |    1.28745 |
|  3276 | 0.10300 |    0.11531 |
|  3277 | 0.35100 |    0.55104 |
|  3279 | 0.80400 |    2.83949 |
|  3278 | 0.57200 |    1.29199 |
|  3276 | 0.10400 |    0.11657 |
|  3277 | 0.35200 |    0.55345 |
|  3279 | 0.80500 |    2.84901 |
|  3278 | 0.57300 |    1.29654 |
|  3276 | 0.10500 |    0.11783 |
|  3277 | 0.35300 |    0.55587 |
|  3279 | 0.80600 |    2.85856 |
|  3278 | 0.57400 |    1.30111 |
|  3276 | 0.10600 |    0.11910 |
|  3277 | 0.35400 |    0.55829 |
|  3279 | 0.80700 |    2.86814 |
|  3278 | 0.57500 |    1.30570 |
|  3276 | 0.10700 |    0.12036 |
|  3277 | 0.35500 |    0.56072 |
|  3279 | 0.80800 |    2.87776 |
|  3278 | 0.57600 |    1.31029 |
|  3276 | 0.10800 |    0.12163 |
|  3277 | 0.35600 |    0.56316 |
|  3279 | 0.80900 |    2.88740 |
|  3278 | 0.57700 |    1.31490 |
|  3276 | 0.10900 |    0.12291 |
|  3277 | 0.35700 |    0.56561 |
|  3279 | 0.81000 |    2.89709 |
|  3278 | 0.57800 |    1.31953 |
|  3276 | 0.11000 |    0.12418 |
|  3277 | 0.35800 |    0.56806 |
|  3279 | 0.81100 |    2.90680 |
|  3278 | 0.57900 |    1.32417 |
|  3276 | 0.11100 |    0.12546 |
|  3277 | 0.35900 |    0.57052 |
|  3279 | 0.81200 |    2.91655 |
|  3278 | 0.58000 |    1.32882 |
|  3276 | 0.11200 |    0.12674 |
|  3277 | 0.36000 |    0.57298 |
|  3279 | 0.81300 |    2.92633 |
|  3278 | 0.58100 |    1.33349 |
|  3276 | 0.11300 |    0.12803 |
|  3277 | 0.36100 |    0.57546 |
|  3279 | 0.81400 |    2.93614 |
|  3278 | 0.58200 |    1.33817 |
|  3276 | 0.11400 |    0.12932 |
|  3277 | 0.36200 |    0.57793 |
|  3279 | 0.81500 |    2.94599 |
|  3278 | 0.58300 |    1.34286 |
|  3276 | 0.11500 |    0.13061 |
|  3277 | 0.36300 |    0.58042 |
|  3279 | 0.81600 |    2.95587 |
|  3278 | 0.58400 |    1.34757 |
|  3276 | 0.11600 |    0.13190 |
|  3277 | 0.36400 |    0.58291 |
|  3279 | 0.81700 |    2.96579 |
|  3278 | 0.58500 |    1.35229 |
|  3276 | 0.11700 |    0.13320 |
|  3277 | 0.36500 |    0.58541 |
|  3279 | 0.81800 |    2.97574 |
|  3278 | 0.58600 |    1.35703 |
|  3276 | 0.11800 |    0.13450 |
|  3277 | 0.36600 |    0.58792 |
|  3279 | 0.81900 |    2.98573 |
|  3278 | 0.58700 |    1.36178 |
|  3276 | 0.11900 |    0.13581 |
|  3277 | 0.36700 |    0.59043 |
|  3279 | 0.82000 |    2.99575 |
|  3278 | 0.58800 |    1.36655 |
|  3276 | 0.12000 |    0.13711 |
|  3277 | 0.36800 |    0.59296 |
|  3279 | 0.82100 |    3.00580 |
|  3278 | 0.58900 |    1.37133 |
|  3276 | 0.12100 |    0.13842 |
|  3277 | 0.36900 |    0.59548 |
|  3279 | 0.82200 |    3.01589 |
|  3278 | 0.59000 |    1.37612 |
|  3276 | 0.12200 |    0.13974 |
|  3277 | 0.37000 |    0.59802 |
|  3279 | 0.82300 |    3.02601 |
|  3278 | 0.59100 |    1.38093 |
|  3276 | 0.12300 |    0.14106 |
|  3277 | 0.37100 |    0.60056 |
|  3279 | 0.82400 |    3.03617 |
|  3278 | 0.59200 |    1.38575 |
|  3276 | 0.12400 |    0.14238 |
|  3277 | 0.37200 |    0.60311 |
|  3279 | 0.82500 |    3.04637 |
|  3278 | 0.59300 |    1.39059 |
|  3276 | 0.12500 |    0.14370 |
|  3277 | 0.37300 |    0.60567 |
|  3279 | 0.82600 |    3.05660 |
|  3278 | 0.59400 |    1.39544 |
|  3276 | 0.12600 |    0.14503 |
|  3277 | 0.37400 |    0.60823 |
|  3279 | 0.82700 |    3.06686 |
|  3278 | 0.59500 |    1.40031 |
|  3276 | 0.12700 |    0.14636 |
|  3277 | 0.37500 |    0.61080 |
|  3279 | 0.82800 |    3.07716 |
|  3278 | 0.59600 |    1.40519 |
|  3276 | 0.12800 |    0.14769 |
|  3277 | 0.37600 |    0.61338 |
|  3279 | 0.82900 |    3.08750 |
|  3278 | 0.59700 |    1.41009 |
|  3276 | 0.12900 |    0.14903 |
|  3277 | 0.37700 |    0.61596 |
|  3279 | 0.83000 |    3.09787 |
|  3278 | 0.59800 |    1.41500 |
|  3276 | 0.13000 |    0.15037 |
|  3277 | 0.37800 |    0.61856 |
|  3279 | 0.83100 |    3.10828 |
|  3278 | 0.59900 |    1.41993 |
|  3276 | 0.13100 |    0.15171 |
|  3277 | 0.37900 |    0.62116 |
|  3279 | 0.83200 |    3.11873 |
|  3278 | 0.60000 |    1.42487 |
|  3276 | 0.13200 |    0.15306 |
|  3277 | 0.38000 |    0.62376 |
|  3279 | 0.83300 |    3.12921 |
|  3278 | 0.60100 |    1.42982 |
|  3276 | 0.13300 |    0.15441 |
|  3277 | 0.38100 |    0.62638 |
|  3279 | 0.83400 |    3.13973 |
|  3278 | 0.60200 |    1.43480 |
|  3276 | 0.13400 |    0.15576 |
|  3277 | 0.38200 |    0.62900 |
|  3279 | 0.83500 |    3.15028 |
|  3278 | 0.60300 |    1.43978 |
|  3276 | 0.13500 |    0.15712 |
|  3277 | 0.38300 |    0.63163 |
|  3279 | 0.83600 |    3.16088 |
|  3278 | 0.60400 |    1.44478 |
|  3276 | 0.13600 |    0.15847 |
|  3277 | 0.38400 |    0.63427 |
|  3279 | 0.83700 |    3.17151 |
|  3278 | 0.60500 |    1.44980 |
|  3276 | 0.13700 |    0.15984 |
|  3277 | 0.38500 |    0.63691 |
|  3279 | 0.83800 |    3.18217 |
|  3278 | 0.60600 |    1.45483 |
|  3276 | 0.13800 |    0.16120 |
|  3277 | 0.38600 |    0.63956 |
|  3279 | 0.83900 |    3.19288 |
|  3278 | 0.60700 |    1.45988 |
|  3276 | 0.13900 |    0.16257 |
|  3277 | 0.38700 |    0.64222 |
|  3279 | 0.84000 |    3.20362 |
|  3278 | 0.60800 |    1.46494 |
|  3276 | 0.14000 |    0.16395 |
|  3277 | 0.38800 |    0.64489 |
|  3279 | 0.84100 |    3.21440 |
|  3278 | 0.60900 |    1.47002 |
|  3276 | 0.14100 |    0.16533 |
|  3277 | 0.38900 |    0.64756 |
|  3279 | 0.84200 |    3.22521 |
|  3278 | 0.61000 |    1.47512 |
|  3276 | 0.14200 |    0.16671 |
|  3277 | 0.39000 |    0.65024 |
|  3279 | 0.84300 |    3.23607 |
|  3278 | 0.61100 |    1.48022 |
|  3276 | 0.14300 |    0.16809 |
|  3277 | 0.39100 |    0.65293 |
|  3279 | 0.84400 |    3.24696 |
|  3278 | 0.61200 |    1.48535 |
|  3276 | 0.14400 |    0.16948 |
|  3277 | 0.39200 |    0.65563 |
|  3279 | 0.84500 |    3.25790 |
|  3278 | 0.61300 |    1.49049 |
|  3276 | 0.14500 |    0.17087 |
|  3277 | 0.39300 |    0.65833 |
|  3279 | 0.84600 |    3.26887 |
|  3278 | 0.61400 |    1.49564 |
|  3276 | 0.14600 |    0.17226 |
|  3277 | 0.39400 |    0.66104 |
|  3279 | 0.84700 |    3.27988 |
|  3278 | 0.61500 |    1.50082 |
|  3276 | 0.14700 |    0.17366 |
|  3277 | 0.39500 |    0.66376 |
|  3279 | 0.84800 |    3.29092 |
|  3278 | 0.61600 |    1.50600 |
|  3276 | 0.14800 |    0.17506 |
|  3277 | 0.39600 |    0.66649 |
|  3279 | 0.84900 |    3.30201 |
|  3278 | 0.61700 |    1.51121 |
|  3276 | 0.14900 |    0.17646 |
|  3277 | 0.39700 |    0.66922 |
|  3279 | 0.85000 |    3.31314 |
|  3278 | 0.61800 |    1.51643 |
|  3276 | 0.15000 |    0.17787 |
|  3277 | 0.39800 |    0.67197 |
|  3279 | 0.85100 |    3.32430 |
|  3278 | 0.61900 |    1.52166 |
|  3276 | 0.15100 |    0.17928 |
|  3277 | 0.39900 |    0.67472 |
|  3279 | 0.85200 |    3.33551 |
|  3278 | 0.62000 |    1.52691 |
|  3276 | 0.15200 |    0.18070 |
|  3277 | 0.40000 |    0.67747 |
|  3279 | 0.85300 |    3.34676 |
|  3278 | 0.62100 |    1.53218 |
|  3276 | 0.15300 |    0.18212 |
|  3277 | 0.40100 |    0.68024 |
|  3279 | 0.85400 |    3.35804 |
|  3278 | 0.62200 |    1.53746 |
|  3276 | 0.15400 |    0.18354 |
|  3277 | 0.40200 |    0.68301 |
|  3279 | 0.85500 |    3.36937 |
|  3278 | 0.62300 |    1.54276 |
|  3276 | 0.15500 |    0.18497 |
|  3277 | 0.40300 |    0.68579 |
|  3279 | 0.85600 |    3.38073 |
|  3278 | 0.62400 |    1.54808 |
|  3276 | 0.15600 |    0.18640 |
|  3277 | 0.40400 |    0.68858 |
|  3279 | 0.85700 |    3.39214 |
|  3278 | 0.62500 |    1.55341 |
|  3276 | 0.15700 |    0.18783 |
|  3277 | 0.40500 |    0.69138 |
|  3279 | 0.85800 |    3.40359 |
|  3278 | 0.62600 |    1.55876 |
|  3276 | 0.15800 |    0.18927 |
|  3277 | 0.40600 |    0.69419 |
|  3279 | 0.85900 |    3.41508 |
|  3278 | 0.62700 |    1.56412 |
|  3276 | 0.15900 |    0.19071 |
|  3277 | 0.40700 |    0.69700 |
|  3279 | 0.86000 |    3.42660 |
|  3278 | 0.62800 |    1.56951 |
|  3276 | 0.16000 |    0.19215 |
|  3277 | 0.40800 |    0.69982 |
|  3279 | 0.86100 |    3.43818 |
|  3278 | 0.62900 |    1.57490 |
|  3276 | 0.16100 |    0.19360 |
|  3277 | 0.40900 |    0.70265 |
|  3279 | 0.86200 |    3.44979 |
|  3278 | 0.63000 |    1.58032 |
|  3276 | 0.16200 |    0.19505 |
|  3277 | 0.41000 |    0.70549 |
|  3279 | 0.86300 |    3.46144 |
|  3278 | 0.63100 |    1.58575 |
|  3276 | 0.16300 |    0.19650 |
|  3277 | 0.41100 |    0.70833 |
|  3279 | 0.86400 |    3.47314 |
|  3278 | 0.63200 |    1.59120 |
|  3276 | 0.16400 |    0.19796 |
|  3277 | 0.41200 |    0.71118 |
|  3279 | 0.86500 |    3.48487 |
|  3278 | 0.63300 |    1.59666 |
|  3276 | 0.16500 |    0.19943 |
|  3277 | 0.41300 |    0.71404 |
|  3279 | 0.86600 |    3.49665 |
|  3278 | 0.63400 |    1.60214 |
|  3276 | 0.16600 |    0.20089 |
|  3277 | 0.41400 |    0.71691 |
|  3279 | 0.86700 |    3.50847 |
|  3278 | 0.63500 |    1.60764 |
|  3276 | 0.16700 |    0.20236 |
|  3277 | 0.41500 |    0.71979 |
|  3279 | 0.86800 |    3.52034 |
